ggap,tfp
-0.3,-0.166914772
-0.4,-0.073232677
-0.5,0.119223575
-0.7,0.014236529
-0.7,-0.052876741
-0.7,-0.030369805
-0.7,-0.034837797
-0.7,-0.010676504
